,x,lp,Nr,Ulica,Obiekt,NrZabytków,Dlugosc,Szerokosc,,,
,1,"Grodzisko/ 3 MAJA, Dąbrowskiego",14,"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia",474,,,,, 
,239,ALEJA ZWYCIĘSTWA,39,dom,,,,,,
,240,ALEJA ZWYCIĘSTWA,40,dom,,,,,,
,241,ALEJA ZWYCIĘSTWA,41/42,Budynek dydaktyczny Akademii Medycznej,,,,,,
,242,ALEJA ZWYCIĘSTWA,43,dom,,,,,,
,243,ALEJA ZWYCIĘSTWA,43 A,dom,,,,,,
,244,ALEJA ZWYCIĘSTWA,44,dom,,,,,,
,245,ALEJA ZWYCIĘSTWA,45,dom,,,,,,
,246,ALEJA ZWYCIĘSTWA,46,dom,,,,,,
,247,ALEJA ZWYCIĘSTWA,46 ,budynek mieszkalno - gospodarczy na zapleczu,,,,,,
,248,ALEJA ZWYCIĘSTWA,46,ogrodzenie,,,,,,
,249,ALEJA ZWYCIĘSTWA,47,dom,,,,,,
,250,ALEJA ZWYCIĘSTWA,47,garaż,,,,,,
,251,ALEJA ZWYCIĘSTWA,47,ogrodzenie,,,,,,
,252,ALEJA ZWYCIĘSTWA,49,kamienica,,,,,,
,253,ALEJA ZWYCIĘSTWA,49 A,kamienica,,,,,,
,254,ALEJA ZWYCIĘSTWA,50,dom,,,,,,
,255,ALEJA ZWYCIĘSTWA,52,dom,,,,,,
,256,ALEJA ZWYCIĘSTWA,53,dom,,,,,,
,257,ALEJA ZWYCIĘSTWA,54,dom,,,,,,
,258,ALEJA ZWYCIĘSTWA,55,dom,,,,,,
,259,ALEJA ZWYCIĘSTWA,56,dom,,,,,,
,260,ALEJA ZWYCIĘSTWA,57,dom,,,,,,
,261,ALEJA ZWYCIĘSTWA,58,dom,,,,,,
,262,ALTANKI ,07,dom,,,,,,
,263,ALTANKI ,08,dom,,,,,,
,264,ALTANKI ,08,dom,,,,,,
,265,ALTANKI ,11,dom,,,,,,
,266,ALTANKI ,12,dom,,,,,,
,267,ALTANKI ,12,dom,,,,,,
,268,ALTANKI ,26,dom,,,,,,
,269,ALTANKI ,26,dom,,,,,,
,270,ALTANKI ,39,dom,,,,,,
,271,ALTANKI ,39,dom,,,,,,
,272,ANGIELSKA GROBLA,07 A,kamienica,,,,,,
,273,ANGIELSKA GROBLA,07 B,kamienica,,,,,,
